env_local_scale,pathway_name,pathway_id,expr_sum
mineral horizon [ENVO:03600011],Isoquinoline alkaloid biosynthesis [PATH:ko00950],map00950,7186.636363636364
mineral horizon [ENVO:03600011],JAK-STAT signaling pathway [PATH:ko04630],map04630,584.9090909090909
mineral horizon [ENVO:03600011],Kaposi sarcoma-associated herpesvirus infection [PATH:ko05167],map05167,15883.727272727272
mineral horizon [ENVO:03600011],Lectins [BR:ko04091],map04091,521.2727272727273
mineral horizon [ENVO:03600011],Legionellosis [PATH:ko05134],map05134,72253.18181818182
mineral horizon [ENVO:03600011],Leishmaniasis [PATH:ko05140],map05140,6208.181818181818
mineral horizon [ENVO:03600011],Leukocyte transendothelial migration [PATH:ko04670],map04670,4235.454545454545
mineral horizon [ENVO:03600011],Limonene degradation [PATH:ko00903],map00903,12742.09090909091
mineral horizon [ENVO:03600011],Linoleic acid metabolism [PATH:ko00591],map00591,2552.818181818182
mineral horizon [ENVO:03600011],Lipid and atherosclerosis [PATH:ko05417],map05417,67457.54545454546
mineral horizon [ENVO:03600011],Lipid biosynthesis proteins [BR:ko01004],map01004,69438.18181818182
mineral horizon [ENVO:03600011],Lipid metabolism,map99983,205.36363636363637
mineral horizon [ENVO:03600011],Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571],map00571,686.0909090909091
mineral horizon [ENVO:03600011],Lipoic acid metabolism [PATH:ko00785],map00785,41768.818181818184
mineral horizon [ENVO:03600011],Lipopolysaccharide biosynthesis [PATH:ko00540],map00540,9068.0
mineral horizon [ENVO:03600011],Lipopolysaccharide biosynthesis proteins [BR:ko01005],map01005,22764.272727272728
mineral horizon [ENVO:03600011],Long-term depression [PATH:ko04730],map04730,1352.6363636363637
mineral horizon [ENVO:03600011],Long-term potentiation [PATH:ko04720],map04720,1775.0
mineral horizon [ENVO:03600011],Longevity regulating pathway - multiple species [PATH:ko04213],map04213,43575.63636363636
mineral horizon [ENVO:03600011],Longevity regulating pathway - worm [PATH:ko04212],map04212,113760.36363636363
mineral horizon [ENVO:03600011],Longevity regulating pathway [PATH:ko04211],map04211,14735.363636363636
mineral horizon [ENVO:03600011],Lysine biosynthesis [PATH:ko00300],map00300,18655.090909090908
mineral horizon [ENVO:03600011],Lysine degradation [PATH:ko00310],map00310,38343.454545454544
mineral horizon [ENVO:03600011],Lysosome [PATH:ko04142],map04142,11772.272727272728
