biosample_id,taxon,expr_sum
nmdc:bsm-11-622k6044,Peploviricota,0
nmdc:bsm-11-622k6044,Perkinsozoa,1042
nmdc:bsm-11-622k6044,Pisuviricota,10166
nmdc:bsm-11-622k6044,Placozoa,1564
nmdc:bsm-11-622k6044,Planctomycetota,705611
nmdc:bsm-11-622k6044,Porifera,3515
nmdc:bsm-11-622k6044,Preplasmiviricota,110
nmdc:bsm-11-622k6044,Pseudomonadota,7665900
nmdc:bsm-11-622k6044,RNA viruses,28
nmdc:bsm-11-622k6044,Rhodothermota,16650
nmdc:bsm-11-622k6044,Spirochaetota,13161
nmdc:bsm-11-622k6044,Streptophyta,44964
nmdc:bsm-11-622k6044,Synergistota,3343
nmdc:bsm-11-622k6044,Thermodesulfobacteriota,220387
nmdc:bsm-11-622k6044,Thermomicrobiota,10613
nmdc:bsm-11-622k6044,Thermoproteota,5592
nmdc:bsm-11-622k6044,Thermotogota,3876
nmdc:bsm-11-622k6044,Uroviricota,1553
nmdc:bsm-11-622k6044,Verrucomicrobiota,358331
nmdc:bsm-11-622k6044,Zoopagomycota,6611
nmdc:bsm-11-622k6044,candidate division NC10,14772
nmdc:bsm-11-622k6044,candidate division Zixibacteria,2380
nmdc:bsm-11-622k6044,"dsDNA viruses, no RNA stage",3005
nmdc:bsm-11-622k6044,dsRNA viruses,3775
nmdc:bsm-11-622k6044,ssDNA viruses,494
nmdc:bsm-11-622k6044,ssRNA (+) viruses,363628
nmdc:bsm-11-622k6044,ssRNA viruses,139023
nmdc:bsm-11-622k6044,unclassified Bacteria,9417
nmdc:bsm-11-622k6044,unclassified Eukaryota,17246
nmdc:bsm-11-622k6044,unclassified Viruses,308324
nmdc:bsm-11-622k6044,unclassified phages,137
nmdc:bsm-11-622k6044,unclassified viruses,7814
nmdc:bsm-11-65a4xw75,Acidobacteriota,4979218
nmdc:bsm-11-65a4xw75,Actinomycetota,1384712
nmdc:bsm-11-65a4xw75,Annelida,17533
nmdc:bsm-11-65a4xw75,Apicomplexa,9313
nmdc:bsm-11-65a4xw75,Aquificota,6283
nmdc:bsm-11-65a4xw75,Armatimonadota,52050
nmdc:bsm-11-65a4xw75,Arthropoda,25217
nmdc:bsm-11-65a4xw75,Artverviricota,2
nmdc:bsm-11-65a4xw75,Ascomycota,144337
nmdc:bsm-11-65a4xw75,Atribacterota,882
nmdc:bsm-11-65a4xw75,Bacillariophyta,1733
nmdc:bsm-11-65a4xw75,Bacillota,231972
nmdc:bsm-11-65a4xw75,Bacteroidota,201723
nmdc:bsm-11-65a4xw75,Balneolota,5325
nmdc:bsm-11-65a4xw75,Basidiomycota,209281
nmdc:bsm-11-65a4xw75,Bdellovibrionota,14090
nmdc:bsm-11-65a4xw75,Blastocladiomycota,1452
nmdc:bsm-11-65a4xw75,Caldisericota,184
nmdc:bsm-11-65a4xw75,Calditrichota,1186
nmdc:bsm-11-65a4xw75,Campylobacterota,3664
nmdc:bsm-11-65a4xw75,Candidatus Absconditabacteria,0
nmdc:bsm-11-65a4xw75,Candidatus Aerophobetes,1015
nmdc:bsm-11-65a4xw75,Candidatus Aminicenantes,7757
nmdc:bsm-11-65a4xw75,Candidatus Bathyarchaeota,1622
nmdc:bsm-11-65a4xw75,Candidatus Berkelbacteria,6
nmdc:bsm-11-65a4xw75,Candidatus Bipolaricaulota,137
nmdc:bsm-11-65a4xw75,Candidatus Calescamantes,885
nmdc:bsm-11-65a4xw75,Candidatus Cloacimonadota,338
nmdc:bsm-11-65a4xw75,Candidatus Cryosericota,362
nmdc:bsm-11-65a4xw75,Candidatus Diapherotrites,51
nmdc:bsm-11-65a4xw75,Candidatus Fervidibacteria,1933
nmdc:bsm-11-65a4xw75,Candidatus Gracilibacteria,95
nmdc:bsm-11-65a4xw75,Candidatus Hydrogenedentes,984
nmdc:bsm-11-65a4xw75,Candidatus Hydrothermae,4
nmdc:bsm-11-65a4xw75,Candidatus Korarchaeota,289
nmdc:bsm-11-65a4xw75,Candidatus Latescibacteria,1452
nmdc:bsm-11-65a4xw75,Candidatus Lokiarchaeota,42
nmdc:bsm-11-65a4xw75,Candidatus Marinimicrobia,1062
nmdc:bsm-11-65a4xw75,Candidatus Melainabacteria,1231
nmdc:bsm-11-65a4xw75,Candidatus Micrarchaeota,502
nmdc:bsm-11-65a4xw75,Candidatus Microgenomates,1075
nmdc:bsm-11-65a4xw75,Candidatus Nanohaloarchaeota,12
nmdc:bsm-11-65a4xw75,Candidatus Omnitrophota,7583
nmdc:bsm-11-65a4xw75,Candidatus Parcubacteria,1118
nmdc:bsm-11-65a4xw75,Candidatus Poribacteria,3936
nmdc:bsm-11-65a4xw75,Candidatus Saccharibacteria,242
nmdc:bsm-11-65a4xw75,Candidatus Sumerlaeota,1365
nmdc:bsm-11-65a4xw75,Candidatus Thermoplasmatota,3767
nmdc:bsm-11-65a4xw75,Cercozoa,4
nmdc:bsm-11-65a4xw75,Chlamydiota,4547
nmdc:bsm-11-65a4xw75,Chlorobiota,3982
nmdc:bsm-11-65a4xw75,Chloroflexota,173442
nmdc:bsm-11-65a4xw75,Chlorophyta,24011
nmdc:bsm-11-65a4xw75,Chordata,18931
nmdc:bsm-11-65a4xw75,Chrysiogenota,677
nmdc:bsm-11-65a4xw75,Chytridiomycota,14168
nmdc:bsm-11-65a4xw75,Ciliophora,4379
nmdc:bsm-11-65a4xw75,Cnidaria,4239
nmdc:bsm-11-65a4xw75,Coprothermobacterota,113
nmdc:bsm-11-65a4xw75,Cressdnaviricota,8
nmdc:bsm-11-65a4xw75,Cyanobacteriota,121239
nmdc:bsm-11-65a4xw75,Deferribacterota,1680
nmdc:bsm-11-65a4xw75,Deinococcota,14957
nmdc:bsm-11-65a4xw75,Dictyoglomota,850
nmdc:bsm-11-65a4xw75,Duplornaviricota,92
nmdc:bsm-11-65a4xw75,Elusimicrobiota,4571
nmdc:bsm-11-65a4xw75,Euglenozoa,2024
nmdc:bsm-11-65a4xw75,Euryarchaeota,39974
nmdc:bsm-11-65a4xw75,Evosea,40397
nmdc:bsm-11-65a4xw75,Fibrobacterota,811
nmdc:bsm-11-65a4xw75,Fornicata,91
nmdc:bsm-11-65a4xw75,Fusobacteriota,683
nmdc:bsm-11-65a4xw75,Gemmatimonadota,79802
nmdc:bsm-11-65a4xw75,Haptophyta,4267
nmdc:bsm-11-65a4xw75,Heterolobosea,2288
nmdc:bsm-11-65a4xw75,Ignavibacteriota,6074
nmdc:bsm-11-65a4xw75,Kiritimatiellota,2843
nmdc:bsm-11-65a4xw75,Kitrinoviricota,244
