Gold_biosample	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0
ID	Total_contigs_number	Total_contigs_number	Total_contigs_number	Total_contigs_number	Total_contigs_size (bp)	Total_contigs_size (bp)	Total_contigs_size (bp)	Total_contigs_size (bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Largest_contig_size	Largest_contig_size	Largest_contig_size	Largest_contig_size	auN	auN	auN	auN
Gb0195917		3027883		3258631		1567031224		1766049146		820931		947340		809158529		968682167		224200		274273		408204345		514820742		176889		124377		408204345.0		514820742.0
Gb0192454		4777916		5048632		2884197615		3147596096		1692808		1870342		1797366020		2023203227		517890		589430		1003202292		1155490243		102574		94160		1003202292.0		1155490243.0
Gb0195868		3118916		3331529		1570936807		1752030998		797592		919334		777532728		922959345		208604		251333		383421974		474522152		104753		125093		383421974.0		474522152.0
Gb0150424	4596377	4779209		5105561	2910414038	2684840914		2940161844	2090942	1542329		1704889	1960828492	1551652445		1747266899	515243	442723		505527	908877492	810112051		936401836	167727	95592		100280	908877492.0	810112051.0		936401836.0
Gb0195915		2599193		2649355		1110820267		1156738548		475405		510273		391477025		430009996		87308		100196		136698263		160140207		80071		80175		136698263.0		160140207.0
Gb0195870		1828150		2132554		932267216		1140668787		494800		624546		475336930		619940527		134998		177744		233267620		318664636		77454		77233		233267620.0		318664636.0
Gb0195859		2762963		3030107		1479544234		1694926666		794072		930217		800237678		967251891		227802		277325		418851935		526018614		71927		72090		418851935.0		526018614.0
Gb0195899		3107240		3308713		1604991940		1787238611		828802		942511		824307742		973199594		230506		274988		422536409		523589789		74676		101035		422536409.0		523589789.0
Gb0192460		3735938		4099546		2212374572		2501356357		1305886		1502443		1356075567		1581591341		382094		452511		732281607		870786687		1406223		520205		732281607.0		870786687.0
Gb0192457		4607663		4908800		2672458267		2936661652		1542115		1717706		1597999791		1813027570		453537		520880		863868474		1004190223		111576		160214		863868474.0		1004190223.0
Gb0150428	4858782		6599721	6396435	3075011110		4401919585	4452220425	2203417		2575797	2617922	2063194374		2970820583	3106908943	540075		855757	902967	953646905		1802904032	1938885752	351999		1343816	381156	953646905.0		1802904032.0	1938885752.0
Gb0195869		2674394		2939591		1418338186		1628673168		741302		869801		753428213		913529591		210450		257129		396565365		500418320		80146		89243		396565365.0		500418320.0
Gb0195890		5109197		5113894		2631169008		2746441397		1356172		1431556		1340287850		1478327490		369406		415237		678708736		794270379		106970		128016		678708736.0		794270379.0
Gb0195897		3016093		3194493		1543296126		1706329172		781409		886811		780102579		914602952		216390		256762		401001691		490523275		111687		117409		401001691.0		490523275.0
Gb0192459		5254779		5430566		3231830812		3455572074		1903310		2053844		2049308029		2260098496		592957		661391		1162398923		1315892608		640352		355246		1162398923.0		1315892608.0
Gb0195887		2138371		2452015		1098619472		1323942647		586899		730772		564835483		727949254		157551		207432		276052153		374804564		77399		77406		276052153.0		374804564.0
Gb0195894		2345571		2632075		1234894760		1453439192		664680		801892		655940711		819827385		187361		238326		334076320		438898067		80245		80271		334076320.0		438898067.0
Gb0195921		2315388		2625126		1221857788		1452782809		652481		798180		648103555		819431806		183447		235878		332418936		439592086		69659		87327		332418936.0		439592086.0
Gb0150422	4662636	4996266		5325885	2907125209	2798350604		3058774558	2073122	1602751		1768411	1920456719	1610122622		1810669927	499993	457758		522478	873383138	837974999		968491868	111082	82798		109667	873383138.0	837974999.0		968491868.0
Gb0195918		3613365		3810851		1854918225		2043108333		964833		1088686		946367736		1105430336		262768		312469		475320070		582724546		62446		79973		475320070.0		582724546.0
Gb0195909		2330785		2597437		1244126197		1450833287		665190		794420		668991186		825549327		189696		236079		348702152		448184390		78220		78517		348702152.0		448184390.0
Gb0195907		2954051		3150946		1567679698		1750459139		816555		930641		834022589		984840912		230611		275876		439682538		542867742		97907		327088		439682538.0		542867742.0
Gb0195840		3309467		3477277		1701626322		1863061666		860514		966613		866270080		1002741423		239472		281270		449428353		541532287		115606		104212		449428353.0		541532287.0
Gb0150431	5305579	8027268		7335898	3295820490	5263385532		5069585805	2344993	3042067		2944135	2167420825	3496208266		3513463145	559730	992946		1011493	980121702	2105437148		2196827268	125082	283227		342701	980121702.0	2105437148.0		2196827268.0
Gb0195845		3677337		3842281		1770574848		1930228233		874963		984688		816231179		952664786		219345		262712		378710956		469437240		80043		80043		378710956.0		469437240.0
Gb0195848		2635902		2860453		1300828805		1482241015		669477		788650		629170611		770584027		173648		218069		296789454		386733645		80051		80069		296789454.0		386733645.0
Gb0195844		3139899		3355053		1501586510		1678682789		749292		867265		687779605		827327217		182448		226315		309659196		398264947		80295		80290		309659196.0		398264947.0
Gb0195836		3372153		3557741		1653726561		1817592732		825617		936584		786107998		920011305		209437		250887		374769373		460417137		72240		85407		374769373.0		460417137.0
Gb0195874		1925106		2230234		968631565		1178513716		511031		646975		485008452		632877757		134226		179163		231906711		317329342		80025		80056		231906711.0		317329342.0
Gb0195851		2030071		2331957		1032938122		1244531829		555464		692027		527868699		678902150		149005		195304		254213464		343502948		72319		72346		254213464.0		343502948.0
Gb0195860		3044323		3295520		1657462358		1873578301		895327		1031364		914485445		1087914076		262004		314163		487551459		602890788		62431		66705		487551459.0		602890788.0
Gb0195839			1906428	2202446			1041342171	1250055241			554267	681662			576550550	723810297			164769	207856			313266115	403010203			80173	80233			313266115.0	403010203.0
Gb0195862		2620230		2914099		1383182480		1610961931		740528		883102		735111242		907650064		209064		261710		377326738		487851909		54552		62322		377326738.0		487851909.0
Gb0195919		2637381		2931556		1365388344		1585938349		733428		875398		711405959		875849034		201409		252671		353406925		455525285		51283		51283		353406925.0		455525285.0
